# NFTBan — DECLARED LIVE GO TOOLCHAIN PIN POPULATION  (v1.229.4 VAF-0 Stage 2)
#
# ⛔ HAND-MAINTAINED. READ, NEVER GENERATED FROM THE CURRENT GO VERSION.
#
#     CURRENT REALITY -> GENERATES EXPECTATION -> VALIDATES CURRENT REALITY
#     = SELF-CONSISTENCY, NOT FALSIFIABILITY
#
# The VALUE authority is go.mod. This file declares only WHERE live pins live, so a pin
# cannot silently diverge, disappear, or appear unclassified. The initial population was
# captured by a VALUE-INDEPENDENT structural scan (declaration FORM, never the version
# string) and hand-reviewed; from here it is read-only data and drift in EITHER direction
# is a failure.
#
# ⛔ WHY THIS EXISTS. PR-C moved 20 live declarations across 19 files with NO guard. The
# SOFT-COUPLED pins (jobs without GOTOOLCHAIN=local) would have drifted SILENTLY: Go
# auto-upgrades to satisfy go.mod, so a stale pin still goes green.
#     SOFT-COUPLED JOB GREEN != DECLARED PIN COHERENT
#
# ⛔ LOCATIONS ARE FILE+KEY, NEVER LINE NUMBERS. Line numbers drift with every edit.
#
# NOT IN THIS POPULATION, by design:
#   * `go-version: ${{ env.GO_VERSION }}`  DERIVED references (ossra x2, socket x1) — they
#     inherit from the GO_VERSION pin declared in the same file, which IS registered.
#   * comments and CHANGELOG history — v1.218.10 genuinely shipped 1.25.12; rewriting that
#     would falsify the record. HISTORICAL REFERENCE != LIVE DECLARATION.
#   * Dockerfile `FROM golang:1.25-alpine` — a deliberate MINOR-level float. It is NOT a
#     patch-level pin and Stage 2 must not pin or redesign it (supply-chain finding PR-C-2).
#
# v1.229.4 PR-D raised release.yml from 1 to 2: the shipped-binary govulncheck witness
# needs Go in verify-release. Registered deliberately — the parity guard's LOCATION arm
# caught it as an unregistered live pin within hours of the pin being added, which is
# exactly the drift class Stage 2 exists to prevent.
#
# v1.229.4 R2 raised release.yml from 2 to 3 and REMOVED slsa-go-releaser.yml entirely.
# R2 moved the SLSA builder invocation into release.yml as a called job — the third
# workflow pin is the `go-version` passed to builder_go_slsa3.yml, which is what the
# provenance-bearing nftban-core is actually compiled with. slsa-go-releaser.yml was
# DELETED, so its row is removed here deliberately rather than left to rot: a declared
# pin in a file that no longer exists is an authority claim with no subject.
# ⛔ Net expected_total is unchanged at 20 by coincidence (+1 release.yml, -1 deleted
#    file), NOT because nothing moved. Both edits are intentional.
#
# field	file	key	occurrences
pin	.github/workflows/build-packages.yml	go-version	2
pin	.github/workflows/ci-empty-env-smoke.yml	go-version	1
pin	.github/workflows/ci-go.yml	go-version	1
pin	.github/workflows/ci-install-canonization.yml	go-version	1
pin	.github/workflows/ci-restore-canonization.yml	go-version	1
pin	.github/workflows/ci-runtime-truth.yml	go-version	1
pin	.github/workflows/ci-smoke.yml	go-version	1
pin	.github/workflows/ci-uninstall-canonization.yml	go-version	1
pin	.github/workflows/ci-update-canonization.yml	go-version	1
pin	.github/workflows/codeql.yml	go-version	1
pin	.github/workflows/fuzz.yml	go-version	1
pin	.github/workflows/ossra-remediation.yml	GO_VERSION	1
pin	.github/workflows/osv-scanner.yml	go-version	1
pin	.github/workflows/project-health.yml	go-version	1
pin	.github/workflows/release.yml	go-version	3
pin	.github/workflows/secure-go.yml	go-version	1
pin	.github/workflows/socket-supplychain.yml	GO_VERSION	1
expected_total	20
recorded_at	2026-08-19
recorded_for	v1.229.4 VAF-0 Stage 2 · updated by PR-D and R2
