# NFTBan — DECLARED SECURITY-OBSERVATION STEP POPULATION  (v1.229.4 VAF-0 Stage 3B)
#
# ⛔ HAND-MAINTAINED. READ, NEVER GENERATED BY THE GUARD THAT VALIDATES IT.
#     DECLARED POPULATION != DISCOVERED POPULATION GENERATED BY THE SAME GUARD
#   The guard additionally DISCOVERS security-observation steps structurally and asserts set
#   parity, so unregistered growth is detected — but the expectation itself lives here.
#
# ⛔ TIER-AWARE. This is NOT a "Tier-A population": VAF v2 classifies gosec as TIER B, and
#     GUARD APPLICABILITY != CLAIM TIER
#   Guarding gosec's failure handling protects truthful CORROBORATING evidence; it does not
#   make gosec a Tier-A release authority. Release closure must never treat a Tier-B
#   observation as satisfying a Tier-A claim domain.
#
#   TIER_A 14 · TIER_B 2 (gosec) · GATE 1 = 17
#
# ROLES
#   producer   runs the tool and emits the native artifact
#   validator  asserts the artifact/subject is usable — MUST NEVER CREATE OR REPAIR IT
#   repairer   deliberately mutates an artifact (must not manufacture one)
#   classifier turns validated observation into a verdict
#   gate       policy verdict over other steps' results
#
# field	workflow	job	step	tier	producer	role
step	.github/workflows/osv-scanner.yml	osv-scan	Run OSV-Scanner	A	osv-scanner	producer
step	.github/workflows/osv-scanner.yml	osv-scan	Check SARIF output	A	python3	validator
step	.github/workflows/osv-scanner.yml	osv-scan	OSV verdict (scanner-native results)	A	-	classifier
step	.github/workflows/secure-go.yml	analyze	Run gosec (SARIF)	B	gosec	producer
step	.github/workflows/secure-go.yml	analyze	Fix gosec SARIF relationships	B	python3	repairer
step	.github/workflows/secure-go.yml	analyze	Run govulncheck (native SARIF)	A	govulncheck	producer
step	.github/workflows/secure-go.yml	analyze	govulncheck verdict (scanner-native results)	A	-	classifier
step	.github/workflows/secure-go.yml	secure-go-gate	Evaluate result	GATE	-	gate
step	.github/workflows/release.yml	verify-release	Verify SLSA Provenance	A	slsa-verifier	validator
step	.github/workflows/release.yml	build-rpm	Validate RPM contains correct binaries	A	sha256sum	validator
step	.github/workflows/release.yml	build-deb	Validate DEB contains correct binaries	A	sha256sum	validator
step	.github/workflows/release.yml	create-release	Generate SHA256SUMS.build (local ground truth)	A	sha256sum	producer
step	.github/workflows/release.yml	create-release	Create VERIFY.txt	A	sha256sum	producer
step	.github/workflows/release.yml	verify-release	Gate 1: Verify downloads match build checksums (upload integrity)	A	sha256sum	validator
step	.github/workflows/release.yml	verify-release	Gate 2: Verify binary integrity inside packages	A	sha256sum	validator
step	.github/workflows/release.yml	verify-release	Gate 3: Generate final SHA256SUMS from downloaded assets	A	sha256sum	producer
step	.github/workflows/release.yml	create-release	Validate SBOM	A	anchore/sbom-action	validator
expected_total	17
recorded_at	2026-08-19
recorded_for	v1.229.4 VAF-0 Stage 3B
#
# v1.229.4 R2: the 'Verify SLSA Provenance' validator moved from
# slsa-go-releaser.yml/assemble-release to release.yml/verify-release. R2 deleted the
# former file, so the row was RELOCATED, not removed — the observation still exists and
# still bears a Tier-A claim. ⛔ Deleting the row instead would have dropped a claim-bearing
# validator out of the declared population while the validator kept running.
