# GENERATED by scripts/ci/gen-pipefail-epipe-inventory.sh — do not hand-edit
# except to improve the class/note columns, which regeneration carries forward.
#
# DECLARED EXPOSURE REGISTRY — every `producer | <short-circuiting consumer>`
# pipeline in the gate plane (CI-wired scripts/ci scripts) and the product plane
# (what packaging ships to /usr/lib/nftban + /usr/sbin and what systemd units
# ExecStart). Under `pipefail` such a pipeline can return 141 while its answer
# was correct; see the header of check-pipefail-epipe-shortcircuit.sh for the
# measured thresholds.
#
# ⛔ THIS IS A DEBT REGISTER, NOT AN ALLOWLIST. A row here means the exposure is
# KNOWN and OWED, not that it is safe. The class column is the disposition:
#
#   A             SIGPIPE-SENSITIVE — the producer can exceed the pipe buffer on
#                 a real host. Owed remediation. 39 of these sit on a security-
#                 or count-reporting surface.
#   B             structurally safe — producer bounded small by construction
#   C             already normalised — `|| true` / `|| echo` fallback, or a
#                 local/declare that masks the status
#   D             shipped but not on an automatic product execution path
#   E             UNKNOWN — producer size is host-dependent; needs a probe on a
#                 representative host before it can be classified
#   UNCLASSIFIED  detected but never classified; treat as E until measured
#
# Identity is (plane, file, fingerprint) where fingerprint is the first 16 hex of
# the sha256 of the whitespace-normalised line. Line NUMBERS are deliberately not
# part of identity: they drift on any edit and would locate the subject by
# position. occurrences counts identical lines in the same file.
#
# Ratchet, three directions — see the guard's ARM 1:
#   detected but not declared       -> FAIL (new exposure)
#   declared but no longer detected -> FAIL (reconcile; locks a real fix in and
#                                     makes a disappearance explainable)
#   declared, file no longer in the -> FAIL (rotting row; nothing consumes it)
#   population
#
# Regenerate: scripts/ci/gen-pipefail-epipe-inventory.sh
#
# plane	file	fingerprint	occurrences	consumers	class	note
gate	scripts/ci/check-core-ownership-identity.sh	4338c5c5393e3d58	1	head	UNCLASSIFIED	-
gate	scripts/ci/check-core-ownership-identity.sh	5159e3dc219d34ac	1	head	UNCLASSIFIED	-
gate	scripts/ci/check-firewall-projection-authority-falsifiability.sh	ca2cb583921fbd0b	1	head	UNCLASSIFIED	-
gate	scripts/ci/check-firewall-projection-authority-falsifiability.sh	e6ab39823fb5859e	1	head	UNCLASSIFIED	-
gate	scripts/ci/check-firewall-projection-authority.sh	0ce089dc872807ef	1	head	UNCLASSIFIED	-
gate	scripts/ci/check-firewall-projection-authority.sh	474c4e49a316055a	1	head	UNCLASSIFIED	-
gate	scripts/ci/check-firewall-projection-authority.sh	597e11a50fd6df26	1	head	UNCLASSIFIED	-
gate	scripts/ci/check-firewall-projection-authority.sh	c51feac7b3799f4b	1	head	UNCLASSIFIED	-
gate	scripts/ci/check-license-metadata.sh	873a10539a70138e	1	head	UNCLASSIFIED	-
gate	scripts/ci/check-license-metadata.sh	cf00a3bb42348de8	1	head	UNCLASSIFIED	-
gate	scripts/ci/check-license-metadata.sh	db69d4130fd6123d	1	head	UNCLASSIFIED	-
gate	scripts/ci/check-logrotate-fhs-authority.sh	2f5a3ef178b2b7bd	1	head	UNCLASSIFIED	-
gate	scripts/ci/check-logrotate-fhs-authority.sh	652fa0f3dbbb9aa3	1	head	UNCLASSIFIED	-
gate	scripts/ci/check-nft-bounded-limiters.sh	0cc5812017ed0a5b	1	head	UNCLASSIFIED	-
gate	scripts/ci/check-nft-bounded-limiters.sh	309f5cb7f893eff0	1	head	UNCLASSIFIED	-
gate	scripts/ci/check-nft-bounded-limiters.sh	4747ea58e03e7b19	1	head	UNCLASSIFIED	-
gate	scripts/ci/check-nft-probe-authority.sh	59456e564f94bf10	1	head	UNCLASSIFIED	-
gate	scripts/ci/check-nft-probe-authority.sh	6959691883466a33	1	head	UNCLASSIFIED	-
gate	scripts/ci/check-nft-writes.sh	bffc9ed3b9e8f82c	1	head	UNCLASSIFIED	-
gate	scripts/ci/check-predicate-loader-authority.sh	2c1ea3a7a5800778	1	head	UNCLASSIFIED	-
