# GENERATED by scripts/ci/gen-pipefail-epipe-inventory.sh — do not hand-edit
# except to improve the note column, which regeneration carries forward.
#
# REMEDIATED LEDGER — declared exposures that are NO LONGER DETECTED, with every
# field they carried when last seen.
#
# ⛔ AUTHORITATIVE STATE MACHINE — this is the definition, not a summary of one.
# It is written here so it cannot be reinterpreted later from behaviour.
#
#     ACTIVE REGISTRY        currently detectable exposure
#        |  subject shape disappears AND source file survives
#        v
#     REMEDIATED LEDGER      historical record of DISAPPEARANCE
#                            NOT proof the defect was reproduced or fixed
#        |  same fingerprint returns
#        v
#     FAIL                   PIPEFAIL_EPIPE_REMEDIATION_REGRESSED
#
#     source file itself disappears -> ORPHAN -> human review, never REMEDIATED
#
# A fingerprint is in EXACTLY ONE state. Present in both the active registry and
# this ledger is a contradiction, not a redundancy, and the gate fails it as
# EPIPE_LEDGER_DOUBLE_STATE.
#
# ⛔ reproduction_status IS COPIED VERBATIM AND NEVER UPGRADED. "The shape was
# eliminated" and "the defect was reproduced" are separate facts. A row that was
# UNVERIFIED when it disappeared stays UNVERIFIED here; promoting it because
# someone deleted the line would manufacture evidence of a reproduction that
# never happened. Likewise a PROVEN row stays PROVEN: the reproduction happened
# and the record of it does not expire when the line does.
#
# ⛔ THIS RECORDS A DISAPPEARANCE, NOT A CERTIFICATE. A row here means the exact
# pipeline is gone from the scanned population. It does not by itself assert that
# the underlying behaviour is correct, and it says NOTHING about any other mode
# of the same component — COVERAGE IS PER MODE, and the absence of a row for a
# mode means UNVERIFIED, never safe.
#
# Why it exists: the gate fails with EPIPE_REGISTRY_STALE when a declared site
# stops being detected, and the reconciliation for that failure is to regenerate.
# Without this file, regenerating recorded the removal by simply not emitting the
# row — so the ratchet caught the change and the fix then discarded the evidence.
# A site reproduced as a real security defect would disappear with exactly the
# same absence as a line someone reformatted.
#
# A row is moved here ONLY if its file is still in the scanned population. If the
# file left the population the gate raises EPIPE_REGISTRY_ORPHAN instead and a
# person decides: "the file is gone" is not evidence that a defect was fixed.
#
# The gate re-checks every row here: a remediated fingerprint that is DETECTED
# AGAIN fails as EPIPE_REMEDIATION_REGRESSED.
#
# plane	file	fingerprint	occurrences	consumers	last_class	last_mode	last_reproduction_status	note
product	cli/lib/nftban/cli/cmd_botguard.sh	1b69ca02fba0e12c	1	grep-q	A	n/a	UNVERIFIED	fn=_botguard_kernel_set_count; security_or_count_surface=YES; MEASURED 65024 (~1600 set elements); 20/20 fail at 205291B
product	cli/lib/nftban/cli/cmd_botguard.sh	90bfd4fa961bd515	1	grep-q	A	n/a	UNVERIFIED	fn=_nftban_botguard_test; security_or_count_surface=YES; MEASURED 65024 (~1600 set elements); 20/20 fail at 205291B
product	cli/lib/nftban/cli/cmd_status.sh	525ccd7a059ff104	1	grep-q	A	n/a	UNVERIFIED	fn=_nftban_prefetch_unit_states; security_or_count_surface=YES; MEASURED 65024 (~1600 set elements); 20/20 fail at 205291B
product	cli/lib/nftban/cli/cmd_status.sh	759920c145a68a79	1	grep-q	A	n/a	UNVERIFIED	fn=_nftban_prefetch_unit_states; security_or_count_surface=YES; MEASURED 65024 (~1600 set elements); 20/20 fail at 205291B
product	cli/lib/nftban/cli/cmd_status.sh	9584e0826e93c6be	1	grep-q	A	n/a	UNVERIFIED	fn=_nftban_prefetch_unit_states; security_or_count_surface=YES; MEASURED 65024 (~1600 set elements); 20/20 fail at 205291B
product	cli/lib/nftban/cli/cmd_status.sh	f518a64715ea832f	1	grep-q	A	n/a	UNVERIFIED	fn=_nftban_prefetch_unit_states; security_or_count_surface=YES; MEASURED 65024 (~1600 set elements); 20/20 fail at 205291B
product	cli/lib/nftban/core/nftban_ddos_classic.sh	460be55d193022fe	1	grep-q	A	classic	PROVEN	fn=nftban_ddos_list_banned; security_or_count_surface=YES; MEASURED 65024 (~1600 set elements); 20/20 fail at 205291B
product	cli/lib/nftban/core/nftban_ddos_classic.sh	9701a769b004c6a6	1	grep-q	A	classic	PROVEN	fn=nftban_ddos_list_banned; security_or_count_surface=YES; MEASURED 65024 (~1600 set elements); 20/20 fail at 205291B
product	cli/lib/nftban/core/nftban_firewall_conflicts.sh	3a90fb406c268ba5	1	grep-q	A	n/a	PROVEN	fn=nftban_report_conflicts; security_or_count_surface=YES; MEASURED 65024 on the shape; prod ruleset 168-196KB (fleet record) | RULING v1.231.0: DEBT WITHDRAWN -> PROVEN; fn= is nftban_validate_hook_authority (:1319), NOT nftban_report_conflicts; reproduced against a FOREIGN competing-firewall table (4K/16K 20/20 detected; 64K 9/20; 128K and 192K 0/20), so the earlier 'NFTBan ruleset is skipped' premise was false; fixed in Lane H 0f97c070
product	cli/lib/nftban/core/nftban_firewall_conflicts.sh	446eba4bd3da79e3	1	grep-q	A	n/a	PROVEN	fn=nftban_report_conflicts; security_or_count_surface=YES; MEASURED 65024 on the shape; prod ruleset 168-196KB (fleet record) | RULING v1.231.0: DEBT WITHDRAWN -> PROVEN; fn= is nftban_validate_hook_authority (:1319), NOT nftban_report_conflicts; reproduced against a FOREIGN competing-firewall table (4K/16K 20/20 detected; 64K 9/20; 128K and 192K 0/20), so the earlier 'NFTBan ruleset is skipped' premise was false; fixed in Lane H 0f97c070
product	cli/lib/nftban/core/nftban_firewall_conflicts.sh	4f4a33fa8f27c685	1	grep-q	B	n/a	UNVERIFIED	-
product	cli/lib/nftban/core/nftban_firewall_conflicts.sh	8cc01d06669bc74a	1	grep-q	B	n/a	UNVERIFIED	-
product	cli/lib/nftban/core/nftban_firewall_conflicts.sh	900cb14ee83c57b6	1	grep-q	B	n/a	UNVERIFIED	-
product	cli/lib/nftban/core/nftban_firewall_conflicts.sh	95d881a4c8be72e4	1	grep-q	A	n/a	PROVEN	fn=nftban_detect_xt_compat; security_or_count_surface=YES; MEASURED 65024 on the shape; prod ruleset 168-196KB (fleet record)
product	cli/lib/nftban/core/nftban_firewall_conflicts.sh	f37bffa5069aff6b	1	grep-q	A	n/a	PROVEN	fn=nftban_report_conflicts; security_or_count_surface=YES; MEASURED 65024 on the shape; prod ruleset 168-196KB (fleet record) | RULING v1.231.0: DEBT WITHDRAWN -> PROVEN; fn= is nftban_validate_hook_authority (:1319), NOT nftban_report_conflicts; reproduced against a FOREIGN competing-firewall table (4K/16K 20/20 detected; 64K 9/20; 128K and 192K 0/20), so the earlier 'NFTBan ruleset is skipped' premise was false; fixed in Lane H 0f97c070
product	cli/lib/nftban/core/nftban_firewall_conflicts.sh	fb2896e195b3ed48	1	grep-q	B	n/a	UNVERIFIED	-
